ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0046872	metal ion binding	193/589	451/1970	1.89214196610692e-11	6.84955391730704e-09	6.49303453632479e-09	Lrp2/Agrn/Cisd3/Nfx1/Cad/Rnf213/Arid2/Helz2/Prkcsh/Galnt1/Polr1a/Notch2/Adam10/Nlk/Tnk2/Atp2a2/Fhl2/Adam15/Idh1/Zfand5/Actn3/Sp1/Mt2/Mt1/Anxa2/Itgb1/Anxa1/Tcea1/Fn1/Dnmt1/Nme1/Sptan1/Rps6ka1/Rps6ka3/Cat/Lta4h/Impdh2/Gna12/Gna13/Rxrb/Prkcd/Prim2/Thbs1/Canx/Ldlr/Lig1/Kdm5c/Itgav/Tes/Cit/Pkm/Cnbp/Idh2/Cox17/Nploc4/Polr2i/Abce1/Timm10/Rps29/Ppp2cb/Ran/Gtf2b/Crip1/Ext2/Phf5a/Mcm2/Csrp2/Csrp1/Fhl1/Rbbp6/Bmp1/Top2a/Sec23a/Nme2/Hspg2/Lyar/Marchf5/Pde12/Pdlim7/Sec24a/Rnf40/Spg7/Zc3hav1/Cdc42bpa/Arap1/Ehmt1/Ogdh/Myl6/Samhd1/P4ha1/P4ha2/Klf4/Arhgef2/Adam9/Gata6/Traf4/Trim25/Ewsr1/Fbn1/Lasp1/Ltbp3/Trim28/Fstl1/Vat1/Sf1/Sqstm1/Adh7/Gpd2/Gart/Sp9/Sh3rf1/Myof/Pdzrn3/Chd4/Gmip/Uhrf2/Zfyve16/Trim56/Rnf168/Lpp/Fbxo30/Asph/Cnot4/Nsd2/Nob1/Trim47/Mbnl2/Zfp57/Polr2b/Tns2/Pdlim5/Nek9/Ndufs8/Acat1/Ilkap/Pdlim2/Rnpep/Uhrf1/Lmcd1/Gatad2b/Ciapin1/Npnt/Acly/Cd248/Ndufs1/Daglb/Zfand2b/Ajuba/Dus3l/Rnf126/Ndufv1/Lrp1/Etfdh/Traf7/Mtarc2/Eif2s2/Rtcb/Hgs/Park7/Dnaja3/Raf1/Ino80b/Znhit3/Smyd3/Cxxc1/Cenpv/Mis18a/Shmt2/Cyc1/Ppa1/Zfand6/Crip2/Atp13a1/Ranbp2/Nek6/Ngly1/Plscr3/Plscr1/Iqgap1/Pias4/Myo9b/Dnaja2/Fhl3/Nubp1/Rnf7/Ccs/Racgap1/Adgre5/Ehmt2/Trip6/Baz1b/Mbd1/Sucla2	193
GO:0043169	cation binding	194/589	460/1970	8.79933266293819e-11	1.59267921199181e-08	1.5097802358515e-08	Lrp2/Agrn/Cisd3/Nfx1/Cad/Rnf213/Arid2/Helz2/Prkcsh/Galnt1/Polr1a/Notch2/Adam10/Nlk/Tnk2/Atp2a2/Fhl2/Adam15/Idh1/Zfand5/Actn3/Sp1/Mt2/Mt1/Anxa2/Itgb1/Anxa1/Tcea1/Fn1/Dnmt1/Nme1/Sptan1/Rps6ka1/Rps6ka3/Cat/Lta4h/Impdh2/Gna12/Gna13/Rxrb/Prkcd/Prim2/Thbs1/Canx/Ldlr/Lig1/Kdm5c/Itgav/Tes/Cit/Pcyt1a/Pkm/Cnbp/Idh2/Cox17/Nploc4/Polr2i/Abce1/Timm10/Rps29/Ppp2cb/Ran/Gtf2b/Crip1/Ext2/Phf5a/Mcm2/Csrp2/Csrp1/Fhl1/Rbbp6/Bmp1/Top2a/Sec23a/Nme2/Hspg2/Lyar/Marchf5/Pde12/Pdlim7/Sec24a/Rnf40/Spg7/Zc3hav1/Cdc42bpa/Arap1/Ehmt1/Ogdh/Myl6/Samhd1/P4ha1/P4ha2/Klf4/Arhgef2/Adam9/Gata6/Traf4/Trim25/Ewsr1/Fbn1/Lasp1/Ltbp3/Trim28/Fstl1/Vat1/Sf1/Sqstm1/Adh7/Gpd2/Gart/Sp9/Sh3rf1/Myof/Pdzrn3/Chd4/Gmip/Uhrf2/Zfyve16/Trim56/Rnf168/Lpp/Fbxo30/Asph/Cnot4/Nsd2/Nob1/Trim47/Mbnl2/Zfp57/Polr2b/Tns2/Pdlim5/Nek9/Ndufs8/Acat1/Ilkap/Pdlim2/Rnpep/Uhrf1/Lmcd1/Gatad2b/Ciapin1/Npnt/Acly/Cd248/Ndufs1/Daglb/Zfand2b/Ajuba/Dus3l/Rnf126/Ndufv1/Lrp1/Etfdh/Traf7/Mtarc2/Eif2s2/Rtcb/Hgs/Park7/Dnaja3/Raf1/Ino80b/Znhit3/Smyd3/Cxxc1/Cenpv/Mis18a/Shmt2/Cyc1/Ppa1/Zfand6/Crip2/Atp13a1/Ranbp2/Nek6/Ngly1/Plscr3/Plscr1/Iqgap1/Pias4/Myo9b/Dnaja2/Fhl3/Nubp1/Rnf7/Ccs/Racgap1/Adgre5/Ehmt2/Trip6/Baz1b/Mbd1/Sucla2	194
GO:0008270	zinc ion binding	52/589	82/1970	1.43931548924978e-10	1.73677402369474e-08	1.64637491051028e-08	Nfx1/Cad/Polr1a/Zfand5/Mt2/Mt1/Tcea1/Dnmt1/Lta4h/Rxrb/Kdm5c/Tes/Cnbp/Polr2i/Rps29/Gtf2b/Crip1/Phf5a/Rbbp6/Bmp1/Sec23a/Marchf5/Sec24a/Spg7/Ehmt1/Samhd1/Gata6/Traf4/Trim28/Vat1/Sf1/Sqstm1/Adh7/Pdzrn3/Trim56/Fbxo30/Trim47/Rnpep/Uhrf1/Lmcd1/Gatad2b/Zfand2b/Traf7/Cxxc1/Shmt2/Zfand6/Plscr1/Pias4/Myo9b/Rnf7/Ehmt2/Mbd1	52
GO:0046914	transition metal ion binding	62/589	117/1970	6.17775453351491e-08	5.59086785283099e-06	5.29986309980489e-06	Nfx1/Cad/Galnt1/Polr1a/Zfand5/Mt2/Mt1/Tcea1/Fn1/Dnmt1/Lta4h/Rxrb/Kdm5c/Tes/Cnbp/Cox17/Polr2i/Abce1/Rps29/Gtf2b/Crip1/Phf5a/Rbbp6/Bmp1/Sec23a/Marchf5/Sec24a/Spg7/Ehmt1/Samhd1/P4ha1/P4ha2/Gata6/Traf4/Trim28/Vat1/Sf1/Sqstm1/Adh7/Pdzrn3/Trim56/Fbxo30/Trim47/Rnpep/Uhrf1/Lmcd1/Gatad2b/Zfand2b/Traf7/Mtarc2/Park7/Cxxc1/Shmt2/Zfand6/Plscr3/Plscr1/Pias4/Myo9b/Rnf7/Ccs/Ehmt2/Mbd1	62
GO:0019838	growth factor binding	16/589	22/1970	3.81240799693673e-05	0.0027601833897822	0.00261651580421342	Lrp2/Agrn/Col4a1/Insr/Ccn1/Rps2/Ccn2/Thbs1/Hspa9/Itgav/Igfbp2/Shc1/Glg1/Ltbp3/Sort1/Htra1	16
GO:0016740	transferase activity	101/589	263/1970	0.000934774847366982	0.048364198446532	0.0458468412142176	Nfx1/Cad/Rnf213/Hk2/Galnt1/Polr1a/Nlk/Tnk2/Slk/Mapkapk5/Ilk/Ugcg/Gcat/Got2/Pgk1/Dnmt1/Insr/Nme1/Gapdh/Rps6ka1/Rps6ka3/Fasn/Cdk11b/Prkcd/Fbl/Gfpt1/Cit/Pcyt1a/Pkm/Polr2i/Gtf2b/Ext2/Rbbp6/Nme2/Epha4/Top1/Marchf5/Fam98a/Tamm41/Rnf40/Zc3hav1/Cdc42bpa/Ehmt1/Zdhhc18/Pik3c2a/Traf4/Trim25/Trim28/Cdkn2a/Gart/Galk2/Sh3rf1/Pdzrn3/Uggt1/Ube2o/Fcsk/Uhrf2/Naa15/Trim56/Rnf168/Fbxo30/Gtf3c4/Cnot4/Nsd2/Acaa2/Trim47/Polr2b/Ppat/Nek9/Acat1/Acaa1b/Uhrf1/Zdhhc5/Ciapin1/Acly/Rnf126/B3galt6/Traf7/Ctu1/Nans/Raf1/Zdhhc6/Mtap/Ndufaf7/Smyd3/Cxxc1/Shmt2/Oxct1/Nosip/Pold3/Oga/Ranbp2/Nek6/Agk/Pbk/Pias4/Rnf7/Tbk1/Ror1/Ehmt2/Baz1b	101
GO:0140096	catalytic activity, acting on a protein	106/589	279/1970	0.00108116713300566	0.048364198446532	0.0458468412142176	Ppig/Nfx1/Cad/Rnf213/Casp6/Galnt1/Fkbp8/Adam10/Nlk/Tnk2/Slk/Mapkapk5/Ilk/Adam15/Pgk1/Ctsb/Insr/Gapdh/Rps6ka1/Rps6ka3/Lta4h/Cdk11b/Pdia3/Prkcd/Uba1y/Fbl/Kdm5c/Gsr/Cit/Usp10/Ppp2cb/Gtf2b/Hint1/Rbbp6/Bmp1/Nme2/Epha4/Top1/Marchf5/Fam98a/Rnf40/Spg7/Myrf/Cdc42bpa/Ehmt1/Zdhhc18/P4ha1/P4ha2/Adam9/Trim25/Ptpn21/Trim28/Cdkn2a/Sh3rf1/Pdzrn3/Ube2o/Abhd17b/Uhrf2/Ctdp1/Trim56/Rnf168/Fbxo30/Gtf3c4/Asph/Cnot4/Nsd2/Trim47/Uba6/Tns2/Lonp1/Nek9/Ilkap/Nae1/Rnpep/Uhrf1/Zdhhc5/Mtmr6/Txndc5/Rnf126/B3galt6/Traf7/Park7/Raf1/Zdhhc6/Ndufaf7/Smyd3/Cxxc1/Ssu72/Nosip/Prss23/Timm50/Oga/Ranbp2/Nek6/Pbk/Pias4/Prep/Pin1/Uchl1/Htra1/Psmb2/Rnf7/Tbk1/Ror1/Ehmt2/Baz1b	106
GO:0019787	ubiquitin-like protein transferase activity	24/589	46/1970	0.00113939692325254	0.048364198446532	0.0458468412142176	Nfx1/Rnf213/Rbbp6/Marchf5/Rnf40/Trim25/Trim28/Cdkn2a/Sh3rf1/Pdzrn3/Ube2o/Uhrf2/Trim56/Rnf168/Fbxo30/Cnot4/Trim47/Uhrf1/Rnf126/Traf7/Nosip/Ranbp2/Pias4/Rnf7	24
GO:0003677	DNA binding	93/589	241/1970	0.00127702166694513	0.048364198446532	0.0458468412142176	Cul4b/Nfx1/Mki67/Arid2/Helz2/Polr1a/Zfand5/Sp1/Anxa1/Tcea1/Dnmt1/Lmnb1/Rel/Nme1/Eno1/Ptbp1/Cbx3/Impdh2/Mcm3/Rxrb/Rbpj/Prim2/Lig1/Kdm5c/Mcm4/Mcm5/Hdgf/Cnbp/Pcbp4/Wdhd1/Pcbp1/Rps3/Gtf2b/Ldb1/Phf5a/Mcm2/Mcm6/Top2a/Nme2/Top1/Relb/Lyar/Khsrp/Myrf/Atad5/Pds5b/Ctc1/Samhd1/Klf4/Tmpo/Gata6/Hcfc1/Mcm7/Pcbp2/Ddx3x/Tead4/Trim28/Cdkn2a/Sp9/Smchd1/Lrpprc/Chd4/Uhrf2/Gtf3c4/Nsd2/Nkrf/Map1s/Mbnl2/Zfp57/Polr2b/Lonp1/Hnrnpl/Tcf25/Banp/Uhrf1/Hnrnpu/Gatad2b/Ddx1/Rbms1/Tardbp/Nono/Srrt/Smyd3/Cxxc1/Zfand6/Nusap1/Plscr1/Ddx20/Orc3/Pias4/Nfkb2/Ehmt2/Mbd1	93
GO:0005201	extracellular matrix structural constituent	11/589	16/1970	0.00145432487090924	0.048364198446532	0.0458468412142176	Agrn/Col4a1/Lamc1/Col4a2/Fn1/Thbs1/Hspg2/Lama5/Lamb2/Fbn1/Npnt	11
